id,lat,lng,nom_ZdA,indice_lig,mode_
41,48.89740222196378,2.344847748752398,Porte de Clignancourt,4,METRO
42,48.89434384790808,2.3474307799602045,Simplon,4,METRO
43,48.89143955394805,2.349627158227452,Marcadet Poissonniers,4,METRO
44,48.88671096710697,2.349559430194617,Château Rouge,4,METRO
45,48.88341808759222,2.3496748325822017,Barbès Rochechouart,4,METRO
46,48.87979369318188,2.3557919075311387,Gare du Nord,4,METRO
47,48.87599106387279,2.3578807719253265,Gare de l'Est,4,METRO
48,48.87262083899373,2.3561539474503386,Château d'Eau,4,METRO
49,48.869628862844074,2.354468813108208,Strasbourg Saint-Denis,4,METRO
410,48.86673355502223,2.352829461254394,Réaumur Sébastopol,4,METRO
411,48.863972477882776,2.3496175641598396,Étienne Marcel,4,METRO
412,48.86251523404101,2.3457858600391797,Châtelet les Halles,4,METRO
413,48.85971866106072,2.3467682857366983,Châtelet,4,METRO
414,48.854936377424146,2.3473213170674256,Cité,4,METRO
415,48.8531679839561,2.343285978923923,Saint-Michel Notre-Dame,4,METRO
416,48.852300762159715,2.339727781593095,Odéon,4,METRO
417,48.853718933065686,2.3337761382184663,Saint-Germain-des-Prés,4,METRO
418,48.85107136943748,2.330700709954214,Saint-Sulpice,4,METRO
419,48.846878237916876,2.326792785027681,Saint-Placide,4,METRO
420,48.8437813048013,2.324397012385794,Montparnasse Bienvenue,4,METRO
421,48.84221841267896,2.329008926235402,Vavin,4,METRO
422,48.838964279775986,2.330754192086215,Raspail,4,METRO
423,48.83345085727892,2.3317401309853487,Denfert-Rochereau,4,METRO
424,48.83111265944071,2.3297050126201837,Mouton Duvernet,4,METRO
425,48.82818847537889,2.3271646496078233,Alésia,4,METRO
426,48.82341162805273,2.3255756362122453,Porte d'Orléans (Général Leclerc),4,METRO
427,48.818676408977936,2.3197403132985555,Mairie de Montrouge,4,METRO
428,48.809703996598586,2.317449187923372,Barbara,4,METRO
429,48.803489717990644,2.3173602968975313,Bagneux - Lucie Aubrac,4,METRO